step;time_ps;potential_energy_kJ_mol;kinetic_energy_kJ_mol;total_energy_kJ_mol;temperature_K
297;2,97;-118,634246721225;7653,77150924576;7535,13726252453;306,845708125302
298;2,98;-119,694944000651;7651,38730050951;7531,69235650886;306,750123325428
299;2,99;-120,54139276855;7654,45223942273;7533,91084665418;306,87299913248
300;3;-121,086653711406;7642,76752193577;7521,68086822437;306,404549635758
301;3,01;-121,235748901337;7635,78283067315;7514,54708177181;306,124527879957
302;3,02;-121,07691347354;7628,75552663243;7507,67861315889;305,842797744432
303;3,03;-120,66701141923;7587,19482692654;7466,52781550731;304,176596667481
304;3,04;-119,923391766549;7599,01393753345;7479,09054576691;304,650434089882
305;3,05;-118,953291834563;7619,77864008316;7500,8253482486;305,482907315687
306;3,06;-117,807732916279;7565,21677946771;7447,40904655143;303,295479491776
307;3,07;-116,830300590608;7566,27757516122;7449,44727457062;303,338007623869
308;3,08;-116,250837800591;7579,51362236304;7463,26278456245;303,868651146675
309;3,09;-116,078059867146;7623,6376888836;7507,55962901646;305,637619611505
310;3,1;-116,249377472872;7678,24173150439;7561,99235403152;307,826738545124
311;3,11;-116,567005011823;7695,39787939572;7578,83087438389;308,514541981908
312;3,12;-116,6963231166;7721,0195188574;7604,3231957408;309,541733621279
313;3,13;-116,523476687046;7681,13077899723;7564,60730231019;307,942562727055
314;3,14;-116,244185398482;7684,92330166837;7568,67911626989;308,094607938126
315;3,15;-116,010491484363;7676,12381051529;7560,11331903093;307,741829430073
316;3,16;-116,023471734085;7671,68474054064;7555,66126880656;307,563863630056
317;3,17;-116,260411316941;7684,21908486352;7567,95867354658;308,066375333599
318;3,18;-116,572401480601;7653,55037163046;7536,97797014986;306,836842544709
319;3,19;-116,943713732292;7651,27995503794;7534,33624130565;306,745819761206
320;3,2;-117,358648910845;7629,68485911405;7512,3262102032;305,880055413159
321;3,21;-117,686566610607;7625,57196102393;7507,88539441332;305,715166100042
322;3,22;-117,707868857247;7634,7149319113;7517,00706305405;306,081714980279
