step;time_ps;potential_energy_kJ_mol;kinetic_energy_kJ_mol;total_energy_kJ_mol;temperature_K
245;2,45;-106,010284797481;7707,09785097322;7601,08756617574;308,983603027094
246;2,46;-105,536705847624;7695,85082149048;7590,31411564286;308,532700786053
247;2,47;-104,942022508576;7674,27481423958;7569,33279173101;307,667701717891
248;2,48;-104,460986049173;7695,10315203289;7590,64216598371;308,502726130567
249;2,49;-104,080732632086;7736,12643507781;7632,04570244572;310,147381751699
250;2,5;-104,034941662701;7785,02298242542;7680,98804076272;312,107682719351
251;2,51;-104,311708846131;7746,81864391782;7642,50693507169;310,576040797631
252;2,52;-104,799920637191;7736,84230632119;7632,042385684;310,176081591815
253;2,53;-105,838932435672;7705,68096070466;7599,84202826899;308,926798783948
254;2,54;-107,404927375584;7713,75981527907;7606,35488790349;309,250686405853
255;2,55;-109,504868242116;7752,99464116982;7643,48977292771;310,82364137571
256;2,56;-111,856073127737;7710,25397239596;7598,39789926822;309,110134412532
257;2,57;-114,511048107348;7714,46252383465;7599,9514757273;309,278858543482
258;2,58;-117,260427851258;7718,32072592164;7601,06029807038;309,433536893893
259;2,59;-119,423533860006;7759,42383092363;7640,00029706363;311,081392639946
260;2,6;-121,07059403596;7758,66594210471;7637,59534806875;311,051008282241
261;2,61;-122,097556022649;7757,38722219578;7635,28966617313;310,999743397279
262;2,62;-122,452325726041;7770,87364320377;7648,42131747773;311,540424602522
263;2,63;-122,115255047468;7799,11213694522;7676,99688189775;312,672527984236
264;2,64;-121,326670316827;7801,10753221845;7679,78086190162;312,752524947154
265;2,65;-120,067672303556;7788,21512322575;7668,1474509222;312,235658149912
266;2,66;-118,477392244055;7775,77053970651;7657,29314746246;311,73674502745
267;2,67;-116,146580908683;7759,6987194025;7643,55213849382;311,092413134855
268;2,68;-113,278492501274;7763,0698283108;7649,79133580952;311,227563537357
269;2,69;-110,001833734153;7786,12805273848;7676,12621900433;312,151985855697
270;2,7;-106,357000537357;7804,36645594047;7698,00945540312;312,883177757471
271;2,71;-102,441384922856;7781,2585473404;7678,81716241754;311,956763561657
272;2,72;-98,3503615585551;7771,72927676799;7673,37891520943;311,574727623796
273;2,73;-94,4237264724872;7759,53694818364;7665,11322171116;311,085927599698
274;2,74;-90,6652952948985;7721,24574017802;7630,58044488312;309,550803011609
275;2,75;-88,0397883522776;7654,11333091126;7566,07354255898;306,859412024207
276;2,76;-87,522689586912;7650,75080783779;7563,22811825088;306,724605834563
277;2,77;-89,2413576524307;7663,3618514064;7574,12049375397;307,230192471078
278;2,78;-92,4409329574195;7631,16795868108;7538,72702572366;305,939514039055
279;2,79;-96,1603312514894;7625,81566614219;7529,6553348907;305,724936429545
280;2,8;-100,409733051825;7633,76178671688;7533,35205366505;306,043502641202
281;2,81;-102,850554494562;7650,29357987398;7547,44302537942;306,706275206564
282;2,82;-104,574389403247;7655,28404515614;7550,70965575289;306,906346877312
