n_update,cutoff_factor,n_seeds,speedup_valid,speedup_median,list_error_max,cutoff_error_max,total_error_valid,total_error_max,list_force_absolute_l2_max_kJ_per_mol_nm,cutoff_force_absolute_l2_max_kJ_per_mol_nm,total_force_absolute_l2_max_kJ_per_mol_nm,list_energy_absolute_error_max_kJ_mol,cutoff_energy_absolute_error_max_kJ_mol,total_energy_absolute_error_max_kJ_mol,n_missing_pairs_max,missed_pair_fraction_max,acceptable
13,7.5,3,3,517.4117051821387,0.0062209007102251405,0.004985498113272833,3,0.007966522854784316,0.000796068400493041,0.00026402887170676447,0.000827862939968551,0.0003293657178855408,0.0008057419873431435,0.0010116572573725946,6,0.13333333333333333,True
13,10.0,3,3,466.1662707971696,0.0012596632744520026,0.000952987875191081,3,0.0016045352385023737,0.00011395751551972335,4.812876592172026e-05,0.00012249547463621675,7.257007259744985e-05,0.00032209993443144125,0.0003721207931776452,9,0.1,True
13,11.0,3,3,438.98030884318194,0.0004411891228830881,0.0006292769665897601,3,0.000769590626162512,4.2337168243899496e-05,2.8703514815095813e-05,4.899377440038669e-05,2.909870512990409e-05,0.0002462797040172042,0.0002682514393688683,10,0.08928571428571429,True
13,12.0,3,3,442.66724308797546,0.00036591776502021346,0.00040518387307584587,3,0.0005078998627041432,1.6690748122290345e-05,1.8527464232677938e-05,2.400108029799746e-05,3.582533912634481e-05,0.0001962358347920197,0.0002159426610691198,22,0.14666666666666667,True
13,13.0,3,3,427.9986544516262,0.0002374652979640552,0.00023598486841545574,3,0.0003327923366788872,1.0858346790516629e-05,1.1871383350124485e-05,1.5253223423788825e-05,2.1650921281732988e-05,0.00015566807446223963,0.00016955125194258874,19,0.10497237569060773,True
13,14.0,3,3,415.520786009498,0.00014511352501596572,0.000168917766473019,3,0.00022405009305289774,6.715800457721925e-06,7.89932693784469e-06,1.0244929156908024e-05,1.434599966981115e-05,0.00012153369322147334,0.00013095650198588493,20,0.10309278350515463,True
13,15.0,3,3,400.1808357388828,7.529931368133754e-05,0.00011396061829811105,3,0.00013712461313394414,5.0749916068177425e-06,5.210970594792304e-06,6.870779435252345e-06,9.659140897941287e-06,9.735096541763077e-05,0.00010621310445685372,20,0.07874015748031496,True
14,1.0,3,3,584.8757255554511,1.0,1.0,3,1.0,177693.84089780552,1.0296676804604614,177693.84090461594,2061.1828633435334,0.09553371801666799,2061.0873296255168,1,1.0,False
14,2.0,3,3,551.9883764770605,1.0,1.0,3,1.0,1.029125068334194,0.37766086888853195,1.0313286703605857,0.08046043811379872,0.05253587567471169,0.10239627880409546,1,1.0,False
14,2.5,3,3,576.2544082989247,1.0,1.0,3,1.0,1.029125068334194,0.13483869069134674,1.035432587972646,0.08046043811379872,0.03421718566008143,0.10726900557786757,1,1.0,False
