n_update,cutoff_factor,cutoff_radius_nm,seed,original_runtime_s,optimized_runtime_s,speedup,list_force_relative_l2,cutoff_force_relative_l2,total_force_relative_l2,list_force_absolute_l2_kJ_per_mol_nm,cutoff_force_absolute_l2_kJ_per_mol_nm,total_force_absolute_l2_kJ_per_mol_nm,list_energy_absolute_error_kJ_mol,cutoff_energy_absolute_error_kJ_mol,total_energy_absolute_error_kJ_mol,n_missing_pairs_max,missed_pair_fraction_max
13,2.0,0.68,3,38.47436808299972,0.06860229198355228,560.8321088196897,1.0,1.0,1.0,1.2375971267069314,0.16708010130876313,1.2376777302686603,0.09451151018735374,0.03351618863436238,0.10313090733432345,1,1.0
10,11.0,3.74,3,38.47436808299972,0.12546291697071865,306.6592823756769,0.0002571439128258353,0.0003292895722075305,0.00041870379755070856,2.068354809242809e-05,2.732702961258947e-05,3.402611805631018e-05,2.29972244196186e-05,0.0002445760847306251,0.0002640584776586741,8,0.07766990291262135
14,2.0,0.68,3,38.47436808299972,0.07097970799077302,542.0474269632269,0.0,1.0,1.0,0.0,0.37766086888853195,0.37766086888853195,0.0,0.05253587567471169,0.05253587567471169,0,0.0
12,5.0,1.7000000000000002,3,38.47436808299972,0.07820579200051725,491.96315386391393,0.1275733945457601,0.025870493742967522,0.13012855131524734,0.010677178661466473,0.002165935130601404,0.010894651010075066,0.0027167474617276685,0.002880730848419527,0.005443974903060814,4,0.4
11,13.0,4.42,1,37.92647200002102,0.12080662499647588,313.94364341465047,0.00021966961813848232,0.00036558202400891837,0.0004214931418200504,7.220938356363735e-06,1.1550103149175114e-05,1.3387299145998167e-05,1.2221500666299845e-05,0.0001502156098127025,0.0001601868667189879,12,0.06818181818181818
11,3.0,1.02,2,38.32349537499249,0.09067499998491257,422.64676461394146,0.028085766112595292,0.3475342011769067,0.3475342011769067,0.16889076143046594,0.04719423720211384,0.17025359020863862,0.01688707701844546,0.015343163760887266,0.028149655907071122,1,0.5
12,1.0,0.34,2,38.32349537499249,0.08319062500959262,460.6708432659744,1.0,1.0,1.0,1781.0890593920033,0.9508190123240459,1781.0890796056883,23.7606002968229,0.10241306490803101,23.7123085793742,1,1.0
13,1.0,0.34,1,37.92647200002102,0.06846099998801947,553.9865325755989,,1.0,1.0,0.0,0.267652395747823,0.267652395747823,0.0,0.04601162119639024,0.04601162119639024,0,0.0
11,10.0,3.4000000000000004,3,38.47436808299972,0.1052183749852702,365.6620631936755,0.0003099966456175338,0.0006036072912440174,0.0006802646138776604,4.922425283052848e-05,4.924035293638985e-05,6.619527495236429e-05,4.579557753331409e-05,0.00032607394056093433,0.0003503340534899979,7,0.08433734939759036
10,3.0,1.02,2,38.32349537499249,0.09402241703355685,407.5995553413048,0.012302450667739726,0.6206845906954037,0.6206845906954037,0.09280679830010617,0.06974171132885046,0.09530914240213495,0.010095719959368976,0.02108446972555158,0.021405938141257352,1,0.5
12,2.5,0.8500000000000001,2,38.32349537499249,0.07561462500598282,506.82649516492665,0.0003159335189560819,1.0,1.0,0.33320952563655826,0.1475831396568943,0.3393375280377052,0.03030992090543627,0.03732796067811671,0.04871618464070515,1,0.5
13,1.0,0.34,3,38.47436808299972,0.06578920903848484,584.8127473381431,,1.0,1.0,0.0,1.2376777302686603,1.2376777302686603,0.0,0.10313090733432345,0.10313090733432345,0,0.0
11,1.0,0.34,2,38.32349537499249,0.0824610409908928,464.74668418538437,,1.0,1.0,0.0,31.706317204542692,31.706317204542692,0.0,0.8257994968772194,0.8257994968772194,0,0.0
9,13.0,4.42,2,38.32349537499249,0.1333110419800505,287.4742767424131,3.305571455672786e-05,5.3880360209682746e-05,6.3165416515709e-05,6.2261571440491e-06,1.0446239867090157e-05,1.1897420928743126e-05,6.203985225383679e-06,0.00014121244435516545,0.00014729976510918785,6,0.03896103896103896
12,1.0,0.34,3,38.47436808299972,0.07422924996353686,518.3181576251845,,1.0,1.0,0.0,1.7149228593414294,1.7149228593414294,0.0,0.13736089693570935,0.13736089693570935,0,0.0
10,14.0,4.760000000000001,3,38.47436808299972,0.12919866701122373,297.79229904637776,3.700480281332819e-05,9.489170729837724e-05,0.00010033319792221118,4.903529495772884e-06,7.819461618661725e-06,9.358501576736024e-06,9.279362032002525e-06,0.00012280160627345382,0.00013106407937936784,13,0.06046511627906977
9,7.5,2.5500000000000003,3,38.47436808299972,0.1108184169861488,347.18388088695247,0.00213176805462198,0.0032165962247937253,0.0038581878487091194,0.00016892420413825693,0.0002715598923059551,0.0003057293587104959,6.703519211931006e-05,0.0008193158327049199,0.0008703109375161749,2,0.05714285714285714
